name,lat,long,link,administrative_district,geohash
台10乙線-22-010B-004-001,24.25659409,120.6004911,https://cctv-ss03.thb.gov.tw:443/T10B-004K+490,"臺中市, 沙鹿區",wsmcbrf8
國道3號-N3-S-175.942-M,24.24016476,120.5939847,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=591,"臺中市, 沙鹿區",wsmcbhvc
國道3號-N3-N-178.090-M,24.23278977,120.5928473,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=694,"臺中市, 沙鹿區",wsmcb5mn
國道3號-N3-S-178.894-M,24.2267072,120.5889938,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=21,"臺中市, 沙鹿區",wsmcb464
台12線-22-0120-004-001,24.2368336,120.569838,https://cctv-ss03.thb.gov.tw:443/T12-004K+900,"臺中市, 沙鹿區",wsm9zshm
國道3號-N3-S-180.366-M,24.21408359,120.5840075,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=592,"臺中市, 沙鹿區",wsm9zbn9
臺灣大道六段-22-0120-007-001,24.2133773,120.580985,https://cctv-ss03.thb.gov.tw:443/T12-007K+800,"臺中市, 沙鹿區",wsm9xzum
國道3號-N3-N-181.010-M,24.20942285,120.5824566,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=346,"臺中市, 沙鹿區",wsm9xzjq
台12線-22-0120-008-001,24.20944845,120.5814566,https://cctv-ss03.thb.gov.tw:443/T12-8K+400,"臺中市, 沙鹿區",wsm9xzhw
國道3號-N3-S-181.684-M,24.20329338,120.5788447,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=504,"臺中市, 沙鹿區",wsm9xy4f
向上路六段 (右側車流往環中路),24.20093643,120.570161,https://tcnvr3.taichung.gov.tw/f3949e40,"臺中市, 沙鹿區",wsm9xtss
國道3號-N3-N-183.072-M,24.19417367,120.5707259,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=264,"臺中市, 龍井區",wsm9xskv
國道3號-N3-N-183.942-M,24.1908237,120.5621902,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=501,"臺中市, 龍井區",wsm9x7y9
國道3號-N3-S-184.828-M,24.1884713,120.5557116,https://cctvc.freeway.gov.tw/abs2mjpg/bmjpg?camera=366,"臺中市, 龍井區",wsm9x73u
台1線-22-0010-175-001,24.1758877,120.5431844,https://cctv-ss03.thb.gov.tw:443/T1-175K+820,"臺中市, 龍井區",wsm9x10f
